Date,dolar_med
2011-12-01,1.8369
2012-01-01,1.7897
2012-02-01,1.7184
2012-03-01,1.7953
2012-04-01,1.8548
2012-05-01,1.986
2012-06-01,2.0492
2012-07-01,2.0287
2012-08-01,2.0294
2012-09-01,2.0281
2012-10-01,2.0298
2012-11-01,2.0678
2012-12-01,2.0778
2013-01-01,2.0311
2013-02-01,1.9733
2013-03-01,1.9828
2013-04-01,2.0022
2013-05-01,2.0348
2013-06-01,2.173
2013-07-01,2.2522
2013-08-01,2.3422
2013-09-01,2.2705
2013-10-01,2.1886
2013-11-01,2.2954
2013-12-01,2.3455
2014-01-01,2.3822
2014-02-01,2.3837
2014-03-01,2.3261
2014-04-01,2.2328
2014-05-01,2.2209
2014-06-01,2.2355
2014-07-01,2.2246
2014-08-01,2.268
2014-09-01,2.3329
2014-10-01,2.4483
2014-11-01,2.5484
2014-12-01,2.6394
2015-01-01,2.6342
2015-02-01,2.8165
2015-03-01,3.1395
2015-04-01,3.0432
2015-05-01,3.0617
2015-06-01,3.1117
2015-07-01,3.2231
2015-08-01,3.5143
2015-09-01,3.9065
2015-10-01,3.8801
2015-11-01,3.7765
2015-12-01,3.8711
2016-01-01,4.0524
2016-02-01,3.9737
2016-03-01,3.7039
2016-04-01,3.5658
2016-05-01,3.5393
2016-06-01,3.4245
2016-07-01,3.2756
2016-08-01,3.2097
2016-09-01,3.2564
2016-10-01,3.1858
2016-11-01,3.342
2016-12-01,3.3523
2017-01-01,3.1966
2017-02-01,3.1042
2017-03-01,3.1279
2017-04-01,3.1362
2017-05-01,3.2095
2017-06-01,3.2954
2017-07-01,3.2061
2017-08-01,3.1509
2017-09-01,3.1348
2017-10-01,3.1912
2017-11-01,3.2594
2017-12-01,3.2919
2018-01-01,3.2106
2018-02-01,3.2415
2018-03-01,3.2792
2018-04-01,3.4075
2018-05-01,3.6361
2018-06-01,3.7732
2018-07-01,3.8288
2018-08-01,3.9298
2018-09-01,4.1165
2018-10-01,3.7584
2018-11-01,3.7867
2018-12-01,3.8851
2019-01-01,3.7417
2019-02-01,3.7236
2019-03-01,3.8465
2019-04-01,3.8962
2019-05-01,4.0015
2019-06-01,3.8588
2019-07-01,3.7793
2019-08-01,4.02
2019-09-01,4.1215
2019-10-01,4.087
2019-11-01,4.1553
2019-12-01,4.1096
2020-01-01,4.1495
2020-02-01,4.341
2020-03-01,4.8839
2020-04-01,5.3256
2020-05-01,5.6434
2020-06-01,5.1966
2020-07-01,5.2802
2020-08-01,5.4612
2020-09-01,5.3995
2020-10-01,5.6258
2020-11-01,5.4178
2020-12-01,5.1456
2021-01-01,5.3562
2021-02-01,5.4165
2021-03-01,5.6461
2021-04-01,5.5621
2021-05-01,5.2911
2021-06-01,5.0319
2021-07-01,5.1567
2021-08-01,5.2517
2021-09-01,5.2797
2021-10-01,5.54
2021-11-01,5.5569
2021-12-01,5.6514
