,Date,import_am_r,import_pa_r,impor_am_real,impor_pa_real
0,2011-12-01,1366.1,170.25,2468.58,307.65
1,2012-01-01,1835.14,232.87,3299.65,418.71
2,2012-02-01,1692.33,205.05,3025.93,366.63
3,2012-03-01,2087.01,265.2,3714.92,472.06
4,2012-04-01,1762.3,229.35,3130.35,407.39
5,2012-05-01,2517.76,250.66,4443.83,442.41
6,2012-06-01,2218.28,155.95,3901.21,274.26
7,2012-07-01,2836.1,229.07,4983.76,402.54
8,2012-08-01,2829.03,194.84,4950.05,340.92
9,2012-09-01,2660.64,224.31,4636.4,390.88
10,2012-10-01,2492.33,225.79,4318.49,391.23
11,2012-11-01,2000.21,223.97,3445.46,385.8
12,2012-12-01,1346.12,224.86,2304.92,385.02
13,2013-01-01,2170.27,206.73,3686.96,351.2
14,2013-02-01,1783.23,122.08,3003.61,205.63
15,2013-03-01,2110.7,233.89,3533.99,391.61
16,2013-04-01,2377.61,253.81,3962.26,422.97
17,2013-05-01,2542.74,255.65,4214.26,423.71
18,2013-06-01,2618.69,180.05,4324.14,297.31
19,2013-07-01,3066.03,190.7,5049.69,314.08
20,2013-08-01,3067.41,187.76,5050.45,309.14
21,2013-09-01,3177.72,153.21,5219.55,251.65
22,2013-10-01,3360.5,209.45,5500.52,342.83
23,2013-11-01,2544.52,211.85,4141.31,344.79
24,2013-12-01,2114.21,191.09,3422.48,309.34
25,2014-01-01,3207.87,137.3,5145.55,220.23
26,2014-02-01,2758.5,135.94,4400.55,216.86
27,2014-03-01,2523.34,102.27,3997.82,162.03
28,2014-04-01,2476.23,289.41,3887.42,454.34
29,2014-05-01,2312.83,222.99,3606.73,347.74
30,2014-06-01,2244.35,197.31,3483.92,306.29
31,2014-07-01,2716.37,171.32,4199.84,264.88
32,2014-08-01,2455.36,190.11,3795.9,293.9
33,2014-09-01,2908.04,234.21,4484.51,361.18
34,2014-10-01,2936.69,251.63,4503.03,385.84
35,2014-11-01,2264.75,177.67,3458.17,271.29
